
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>  1 looptimes , 1 training times , load amp = 1.000000 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 1.700000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.161300 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 3.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 9.000000e-02 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.000000e-02 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 2.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 4.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.900000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 4.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 8.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 3.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 5.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 1.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 2.900000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 6.500000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 7.300000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 7.700000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 8.100000e-01 
 1 looptimes , 1 training times , load amp = 0.321060 , bias = 1.700000e-01 
